paper_file,authors,comparisons,dataset,environment,frame_sampling_method,hyperparameters,inferring_method,input_video_length,model_pipeline,qa_interaction,repository,retrieval_level,sound_audio_analysis,spatiotemporal_analysis,speech_audio_analysis,video_representation,video_segmentation,visual_analysis
A Simple Transformer-Based Model for Ego4D Natural Language Queries Challenge.md,"The authors are Sicheng Mo, Fangzhou Mu, and Yin Li from the University of Wisconsin-Madison, for the Ego4D Natural Language Queries (NLQ) Challenge.","Compared to baselines like ReLER@ZJU-Alibaba and the top-ranked Red Panda on the Ego4D NLQ dataset, the model surpasses the top-ranked solution by up to 5.5 absolute percentage points in R@5.","The Ego4D NLQ dataset, which contains 227 hours of video across 5.9K clips with 22.5K event-query pairs.",Not mentioned.,Not mentioned. The paper uses pre-extracted video features without detailing the internal frame sampling strategies of the backbone models.,"The model uses an embedding dimension of 512, 16 attention heads, AdamW optimizer, 9 epochs, a mini-batch size of 16, and a learning rate of 1e-3 with linear warm-up and cosine decay.","A Transformer-based model computes similarity between video and text embeddings, followed by shared classification and regression heads that predict event boundaries from foreground moments.","The model processes untrimmed video clips from the Ego4D NLQ dataset, which have fixed durations of either 8 or 20 minutes.","An untrimmed video and text query are input; video/text features are extracted, processed by Transformer encoders, fused with AdaAttN, and fed to classification/regression heads to output a localized temporal window.","No, the system performs one-shot temporal localization for a given natural language query without any interactive or conversational capabilities.",Not mentioned.,"The system retrieves and ranks temporal windows (clips/segments) within a video, which are refined using SoftNMS to produce the final predictions.",Not mentioned.,"Yes, spatiotemporal analysis is performed using video backbones like SlowFast and Omnivore, and a Transformer-based model with local self-attention processes the sequence of video features.",Not mentioned.,"Videos are represented as a sequence of concatenated feature vector embeddings from pre-trained SlowFast, Omnivore, and EgoVLP backbones.",Not mentioned. The paper uses pre-extracted features derived from short clips of untrimmed videos but does not specify the method used to create these clips.,"Yes, the model uses a visual-only modality, employing fused features from the SlowFast, Omnivore, and EgoVLP visual backbones."
Audio Does Matter Importance-Aware Multi-Granularity Fusion for Video Moment Retrieval.md,"The authors are affiliated with Zhejiang University, Shanghai Artificial Intelligence Laboratory, Peking University, University of Science and Technology of China, and Zhejiang Gongshang University. The paper is for the MM '25 conference.","The model is compared against baselines (visual-only) and SOTA methods like ADPN, EMB, and EAMAT on Charades-STA, ActivityNet Captions, and the new Charades-AudioMatter dataset, reporting significant gains (e.g., +4.71 R1@7 on Charades-STA).","The paper uses Charades-STA and ActivityNet Captions, and introduces a new manually curated test set called Charades-AudioMatter, derived from Charades-STA.",Not mentioned.,Not mentioned.,"Not mentioned. The paper references balancing parameters (λ1, λ2, λ3) and temperature coefficients (γ, τ) in equations but does not state their values or other training hyperparameters.","The model infers moments using an end-to-end deep learning model (IMG) that fuses audio, visual, and text features at multiple granularities and predicts start/end logits.",Not mentioned. The paper processes untrimmed videos from standard datasets but does not specify their durations.,"Pre-extracted visual, audio, and text features are fused; an audio importance predictor weights the audio modality for a multi-granularity fusion module, which then feeds into a predictor to output start/end timestamps for the moment.",Not mentioned. The system performs video moment retrieval based on a single query and is not an interactive Q&A or chat system.,"Yes, a GitHub repository is provided at https://github.com/HuiGuanLab/IMG.",The system retrieves timestamps by predicting the start and end logits for a specific moment within a given video.,"A general pre-trained audio-aware CNN is used to extract features from all audio, including non-speech sounds, but no specific non-speech sound analysis models are mentioned.","Yes, spatiotemporal analysis is performed using visual backbones like I3D, SlowFast, and InternVideo2, and temporal modeling is done with 1D convolutions and Bi-GRUs.","Not mentioned. The paper uses a general pre-trained audio-aware CNN for all audio, without specific analysis for speech content like ASR.","Video content is represented as sequences of feature embeddings from pre-trained visual (I3D, SlowFast, InternVideo2) and audio (audio-aware CNN) backbones, which are then fused with text embeddings (GloVe).","Not mentioned. The paper uses proposal-free methods on untrimmed videos, which do not require pre-segmentation into shots or scenes.","No, the model is multimodal, not visual-only. It uses visual backbones including I3D, SlowFast combined with CLIP, and InternVideo2."
Bridging High-Quality Audio and Video Via Language for Sound Effects Retrieval from Visual Queries.md,The authors are affiliated with the Music and Audio Research Laboratory at New York University and Adobe Research. The publication venue and year are not mentioned.,"The proposed fine-tuned PANNS model is compared against Wav2CLIP and AudioCLIP baselines on PSE-Test, ASFX-Test, and AVE-Test, significantly outperforming them on the P@10 metric. A user study also shows a 67% preference for the proposed model over Wav2CLIP.","A new dataset is created by pairing the ProSoundEffects (PSE) Core 3 Pro Plus 1 library with 1 million HQ stock videos. Evaluation uses this (PSE-Test), Adobe Audition SFX (ASFX-Test), and a filtered subset of the AVE dataset (AVE-Test).",Not mentioned.,"Videos are sampled at 1 frame per second (FPS), and up to 10 random frames are extracted per video for the data curation pipeline.",The model is trained for a maximum of 150 epochs using a batch size of 64 and a learning rate of 1e-4.,Relevant sound effects are inferred via a contrastive learning-based retrieval system that maps audio and video frames into a shared embedding space for similarity matching.,"The system processes single video frames as queries, which are extracted from a collection of high-quality stock videos that are mostly 10 seconds or less in duration. No processed video is ≥ 60 minutes.","A video frame query is encoded by a frozen CLIP vision model, and its embedding is used to retrieve the most similar SFX audio embeddings (encoded by a trained PANNS model) from a database via cosine similarity.",Not mentioned. The system is a cross-modal retrieval model for sound effects and does not have interactive Q&A or chat capabilities.,A companion website with results is available at https://juliawilkins.github.io/sound-effects-retrieval-from-video/.,The system retrieves and ranks a list of sound effects (SFX) clips from a database based on cosine similarity to a visual query frame's embedding.,"Yes, the system analyzes non-speech sound effects (SFX) using an audio encoder, with the best performance achieved by a fine-tuned PANNS model.","Not mentioned. The system uses static single video frames as queries and does not model motion or temporal dynamics, though this is identified as future work.","Not mentioned. The datasets used for training and evaluation are explicitly filtered to remove human sounds, including speech.","Video content is represented as embeddings generated from single static frames using a frozen, pre-trained CLIP image encoder.","Not mentioned. The paper uses pre-existing short video clips and describes segmenting audio files, not video.","Yes, the system uses a visual-only query modality, employing a frozen CLIP image encoder to generate embeddings from single video frames."
Bridging_the_Semantic_Gap_A_Deep_Learning_Framework_for_Semantic_Video_Search_Integrating_Vision_and_Language_for_Enhanced_Video_Retrieval.md,"The authors are J Arjun Annamalai, S Sharon Sneha, and Dr. C. Ashokkumar from the SRM Institute of Science and Technology, India. The publication venue and year are not mentioned.","Not mentioned. The paper reports its own performance metrics (60% precision, 70% recall, 0.65 F1-score) but does not compare them against any baseline or state-of-the-art models.",The Microsoft Research Video-to-Text (MSR-VTT) dataset was used for training and evaluation.,Not mentioned.,"Frames are extracted from videos at regular intervals using OpenCV, based on a defined frame rate parameter.",Not mentioned.,"Content is inferred by generating visual captions from frames using a ViT-GPT2 model and transcribing audio using a Speech-to-Text model, then combining these textual descriptions.","Not mentioned. The system processes video clips from the MSR-VTT dataset, but their specific durations are not stated.","Video frames and audio are processed by ViT-GPT2 and a Speech-to-Text model to generate text, which is embedded by BERT; a user query is also embedded, and cosine similarity is used to retrieve and rank videos.","Not mentioned. The system is described as a video search and retrieval system based on user queries, not an interactive Q&A or chat system.",Not mentioned.,The system retrieves and ranks relevant videos based on cosine similarity scores between the user's query and the video's semantic representation.,"Not mentioned. The methodology only describes using Google Speech-to-Text for transcribing spoken words, not for analyzing non-speech sounds.",Temporal analysis is performed by extracting frames at regular intervals and then temporally aligning the generated frame-level captions to create a cohesive narrative.,"Yes, the system uses the Google Speech-to-Text API to transcribe spoken content from video audio tracks into text.","Videos are represented by concatenating generated visual captions (from ViT-GPT2) and audio transcriptions (from STT), then embedding this combined text using a BERT model.","Not mentioned. The paper uses the MSR-VTT dataset, which consists of pre-segmented video clips, and does not describe a method for segmenting longer videos.","Yes, the system uses a Vision Transformer (ViT) as an encoder within a ViT-GPT2 architecture to process individual video frames and extract visual features."
CLaMR Contextualized Late-Interaction for Multimodal Content Retrieval.md,The authors are affiliated with UNC Chapel Hill; the publication venue and year are not mentioned in the provided text.,"CLAMR is compared against single- and multi-modality baselines including mCLIP, ImageBind, and LanguageBind on MULTIVENT 2.0++ and MSR-VTT, improving nDCG@10 by 35.4 points over the best multimodal baseline on MULTIVENT 2.0++.","The paper introduces the synthetically generated MULTIVENT 2.0++ dataset for training and evaluates on MULTIVENT 2.0, MSR-VTT, and, for downstream tasks, Video-MME and LongVideoBench.","Training was conducted on 8 A100 80GB GPUs, requiring approximately 10 hours for the MULTIVENT 2.0++ dataset and 4 hours for the MSRVTT dataset.",Not mentioned.,"Key hyperparameters include a batch size of 16, a learning rate of 1e-5, 1 to 5 training epochs, an 8-bit Adam optimizer, and QLoRA with a rank of 128.","Relevance is inferred via a contextualized late-interaction mechanism, which computes fine-grained, token-level maximum cosine similarities between query tokens and document tokens across all modalities.","The model processes long-form videos, with experiments on videos up to 60 minutes in length for question answering tasks.","A text query and multimodal video documents (frames, ASR, OCR, metadata) are fed into the CLAMR model, which uses a VLM to generate contextualized embeddings and a late-interaction mechanism to produce a ranked list of relevant documents.","The system is used in a retrieval-augmented generation (RAG) pipeline for long-video question answering, where it retrieves relevant frames for a VLM (Qwen2.5-VL-7B-Inst) to generate a final answer.","The paper states that code and data are made available, but a direct link is not provided in the text.",The system retrieves entire documents (videos) in its primary retrieval task and selects relevant key frames for the downstream long-video question answering task.,"Not mentioned. The paper mentions ""ambient audio"" conceptually, but the implementation only details models for speech analysis (ASR/Whisper) and does not specify any models for non-speech sound analysis.","A Vision-Language Model (VLM) jointly encodes a sequence of video frames and other modalities, enabling implicit spatiotemporal analysis via its internal attention mechanisms over the combined input sequence.","Speech is analyzed using ASR transcripts as text input for the primary VLM-based model, while an alternate Omni-model variant processes raw audio directly using a Whisper audio encoder.","Content is represented as multiple contextualized token- and patch-level embeddings for each modality, generated by a unified VLM backbone, which are then used for fine-grained late-interaction similarity scoring.",Not mentioned.,"The model performs visual analysis using video frames as a primary modality, employing the Qwen-VL-2.5-3B2 model as its vision-language backbone."
Condensed Movies Story Based Retrieval with Contextual Embeddings.md,"The authors are from the Visual Geometry Group, Department of Engineering Science, University of Oxford. The venue and year are not mentioned in the provided text.","The proposed MoEE + CBM model is compared against baselines including E2EWS, CE, and MoEE on the CMD dataset, improving upon the MoEE baseline by +0.9 in R@1 for cross-movie retrieval.","The paper introduces the Condensed Movies Dataset (CMD), created from the MovieClips YouTube channel, consisting of over 3,600 movies.",Not mentioned. The paper only states that the models are implemented with PyTorch.,Frames are sampled uniformly at 25 fps for RGB object embeddings and 1 fps for scene features.,"Adam optimizer with LR 0.001, batch size 32, margin 0.121, projection dimension 512, 10 NetVLAD clusters, and N=3 context videos. Input frames are resized to 224×224 pixels.","The system infers semantic similarity by learning a joint embedding space where multi-modal video features (scene, face, object, action, speech) are projected alongside text query embeddings using a Mixture of Embedding Experts model.","The dataset consists of long video clips with a median duration of 132 seconds, each around two minutes. The condensed movies are roughly 20 minutes each, and no processed video is ≥ 60 minutes.","Video clips and a text query → Multi-modal expert feature extraction (visual, speech, face) → MoEE with Contextual Boost Module computes similarity in a joint embedding space → Ranked list of relevant video clips.","Not mentioned. The system is designed for text-to-video retrieval, not interactive question-answering or chat.","A repository link is mentioned as a placeholder ""Data, code, models and features can be found at ."" but the actual URL is not provided.","The system performs text-to-video retrieval, returning a ranked list of video clips from a gallery set in response to a text query.","Not mentioned. The paper focuses on visual modalities and speech content from subtitles, with no mention of non-speech audio analysis.",Spatiotemporal analysis is performed using motion embeddings generated from an I3D inception model pre-trained on the Kinetics dataset.,"Yes, speech content is analyzed via subtitles, which are encoded using BERT embeddings averaged across all words.","Videos are represented using a collection of aggregated feature embeddings from pre-trained expert models for objects (SENet-154), motion (I3D), faces (SENet50), scenes (DenseNet161), and speech (BERT on subtitles).","The dataset uses pre-segmented ""key scenes"" or clips from the MovieClips YouTube channel, which represent the salient parts of a movie's storyline.","No, it is a multi-modal approach, but it uses several visual backbones including SENet-154 for objects, I3D for motion, SENet50 for faces, and DenseNet161 for scenes."
Conditional Cross Correlation Network for Video Question Answering.md,"The authors are from Institut Polytechnique de Paris, Télécom SudParis, and Laboratoire SAMOVAR; the venue and year are not stated.","The model is compared against Co-Mem, HCRN, B2A, and CoMVT on the MSVD-QA dataset, achieving a 4.61% accuracy gain over the state-of-the-art CoMVT.","The model is pre-trained on a 164,148-sample subset of HowToVQA 69M and fine-tuned on MSVD-QA; the rephrasing model for attacks is trained on Quora, MSRP, and PAWS.",Training was performed on 2 NVIDIA GeForce RTX 2080 GPUs for 20 epochs.,"Not mentioned. The paper describes segmenting videos into clips of 32 frames but does not specify the frame sampling rate (e.g., FPS) used to create these clips.",Batch size: 16 (pre-train)/32 (fine-tune); LR: 1e-4 (pre-train)/1e-5 (fine-tune); Epochs: 20; Clips: 20; Frames/clip: 32; Max tokens: 20; Embedding size: 512; Attention heads: 8.,Inference is performed by an end-to-end model that uses a cross-modal correlation module and a transformer to fuse S3D visual features and DistilBERT text features for answer classification.,"Not mentioned. The paper uses datasets of short clips (MSVD-QA, HowToVQA 69M) but does not specify processed video durations or mention processing videos ≥ 60 minutes.","Video and question inputs are encoded by S3D and DistilBERT, processed by a cross-modal correlation module, fused by a 2-layer transformer, and classified by an MLP to output an answer.","Not mentioned. The system performs standard, non-interactive video question answering by predicting an answer from a predefined vocabulary.",Not mentioned.,The system returns a predicted answer by performing classification over a predefined vocabulary.,Not mentioned. The paper's future work section indicates that audio features are not used in the current model.,"Spatiotemporal analysis is performed using a pre-trained S3D model (a 3D CNN) to extract clip-level features, which are then processed by a multimodal transformer.",Not mentioned. The paper explicitly identifies incorporating audio features as a direction for future work.,Videos are represented as a sequence of clip-level embeddings extracted from a pre-trained S3D model and projected into a 512-dimension space.,"Videos are uniformly sampled into a fixed number of clips, each containing a fixed number of frames.","The analysis is multimodal, using a frozen, pre-trained S3D model as the visual backbone to extract video representations."
ContextIQ A Multimodal Expert-Based Video Retrieval System for Contextual Advertising.md,Authors are from Anoki Inc. and the University of Southern California.,"Compared against Google Vertex API, LanguageBind, TwelveLabs Marengo, CLIP, and One-Peace on MSR-VTT, Condensed Movies, and Val-1 datasets, showing better or comparable performance.","The system was evaluated on MSR-VTT, Condensed Movies, and a new *Val-1* dataset, with an internal *Val-2* dataset for ablations. Expert models used Objects 365, Places365, and Kinetics 710.",Experiments were run on four NVIDIA RTX 4090 GPUs.,Frames are sampled uniformly at a rate of one every ten frames for both visual embedding generation and metadata extraction.,"Video segments are 15s, audio chunks are 5s, frames are sampled 1-in-10. YOLOv5 uses 0.45 IOU and 0.35 confidence thresholds. LLAMA 3 uses a temperature of 0.6.","Roles and activities are inferred using a suite of expert models: VideoMAE2 for actions, YOLOv5 for objects, ResNet50 for places, and an ensemble of LLAMA 3 8B and BERT for hate speech.","The system processes long-form content like movies and TV shows (≥ 60 minutes) by segmenting them into shorter scenes, with processed clips ranging from 15 seconds to 1 minute.","Input videos → Expert models extract features and metadata → Modality-specific encoders generate embeddings stored in a database → A text query is encoded, compared to embeddings, and scores are aggregated and filtered for brand safety to retrieve relevant video scenes.",Not mentioned.,https://github.com/AnokiAI/ContextIQ-Paper,"The system retrieves relevant video scenes or clips for contextual ad placement, storing the results in a scene-to-context lookup database.","Non-speech audio like sound effects, music, and ambient noise is analyzed using the CLAP audio encoder.","Spatiotemporal analysis is performed for action recognition using a fine-tuned VideoMAE2 model, while frame-level features are aggregated using temporal mean pooling for the main video representation.","Speech content is analyzed via video transcripts (captions), which are encoded using a pre-trained MPNet model and processed for named entities with RoBERTa.","Video content is represented by separate embeddings for video (BLIP2), audio (CLAP), captions (MPNet), and a metadata sentence (MPNet), all stored in a multimodal database.",Long-form videos are segmented into scenes using PySceneDetect with default parameters.,"No, it is a multimodal system; visual analysis uses a BLIP2 Qformer for embeddings, YOLOv5 for objects, a fine-tuned ResNet50 for places, and VideoMAE2 for actions."
ECLIPSE Efficient Long-range Video Retrieval using Sight and Sound.md,"Yan-Bo Lin, Jie Lei, Mohit Bansal, and Gedas Bertasius from the Department of Computer Science, University of North Carolina at Chapel Hill; the venue and year are not mentioned.","The primary baseline is CLIP4Clip, with comparisons to FiT and others on five datasets, showing improved R@1 accuracy (e.g., +1.6% over CLIP4Clip on ActivityNet) while being more computationally efficient.","ActivityNet Captions, QVHighlights, YouCook2, DiDeMo, and Charades were used for evaluation; the audio encoder was pretrained on VGGSound.",Training was conducted on four NVIDIA A6000 GPUs.,Uniformly sampled frames at 3 fps spanning the entire input video.,"Batch size 64, Adam optimizer, LR 1e-7, 32 uniformly sampled 224x224 frames, 10-second audio clips, and max text length of 64 or 128 tokens.",Not mentioned. The system performs retrieval by matching text and audiovisual embeddings via dot product similarity within a learned joint space.,"The method targets long-range, minute-long videos, processing datasets with average lengths from 30 seconds to 8 minutes, with some videos potentially lasting hours.",Sparsely sampled frames and dense audio are encoded and fused by an audiovisual Transformer; the resulting embedding is matched against a text query embedding using a contrastive loss to retrieve videos.,"Not mentioned. The system is designed for text-to-video retrieval, not interactive Q&A.",A code repository link is provided in the abstract.,"The system performs paragraph-to-video retrieval, returning a ranked list of full videos to the user.","Yes, using audio spectrograms from 10-second clips processed by an audio encoder like ResNet-18 (pre-trained on VGGSound), VGGish, or AST.","Yes, using a dual-pathway audiovisual attention block within a Transformer to incorporate long-range temporal audio cues into visual representations, followed by temporal pooling over frame-level CLS tokens.","Not mentioned. The model processes general audio events which can include speech, but does not use specific speech recognition or speech embedding models.","A final audiovisual embedding is created by processing visual patch embeddings and audio embeddings through an audiovisual Transformer, followed by temporal pooling of frame-level CLS tokens.",Not mentioned. The method processes whole long-form videos for retrieval rather than pre-segmenting them into shots or scenes.,"No, it is an audiovisual method; the visual backbone is a ViT-B/32 or ViT-B/16 initialized from CLIP."
End-to-End Audio Visual Scene-Aware Dialog using Multimodal Attention-Based Video Features.md,"The authors are from Mitsubishi Electric Research Laboratories (MERL) and the School of Interactive Computing, Georgia Tech; the paper is associated with the Dialog System Technology Challenge the 7th edition (DSTC7).","The primary model (QA + I3D + VGGish with attention) is compared to baselines using only QA history, QA+Captions, QA+VGG16, and QA+I3D on the AVSD dataset, showing improved BLEU, METEOR, ROUGE_L, and CIDEr scores.",A new Audio Visual Scene-Aware Dialog (AVSD) dataset was created using videos from the Charades dataset; MSVD (YouTube2Text) and MSR-VTT were also used for video description experiments.,Not mentioned.,"Features are extracted from sequential frames; the C3D network processes every 16 frames, while the I3D model processes a stack of 16 video frames or 16 optical flow frames.",Optimizer: ADAM; Epochs: up to 20; LSTM layers: 2; LSTM cells: 128; Video feature projection: 256 dimensions; Word embedding: 256 dimensions.,Inferences are made by an end-to-end LSTM-based encoder-decoder model with a multimodal attention mechanism that directly generates a natural language response.,"The system is designed for short video clips from datasets like Charades, MSVD, and MSR-VTT; specific durations are not provided, and no videos are mentioned to be ≥ 60 minutes.","Video features, a question, and dialog history are input to LSTM encoders and a multimodal attention module, whose combined context is fed to an LSTM decoder to generate a text answer.",The system is an end-to-end dialog model that generates answers to questions based on a video and dialog history; it is not an interactive chat system and does not use LLMs.,"The dataset, model code, and pretrained models are stated to be publicly available for a new Video Scene-Aware Dialog challenge, with a link provided in a footnote.","Not mentioned. The system is a generative model that produces text answers based on a given video and dialog history, rather than retrieving videos, clips, or timestamps.","Yes, non-speech audio is analyzed using MFCC features, SoundNet, and Audio Set VGGish to extract embeddings for sounds like music and background noise.","Yes, spatiotemporal analysis is performed using C3D and I3D models to extract features for motion and short-term activity, which are then integrated via a multimodal attention mechanism.",Not mentioned. The paper analyzes non-speech audio but does not perform automatic speech recognition (ASR) or analyze speech content from the video audio tracks.,"Videos are represented as sequences of embedding vectors extracted from pretrained models, including VGG-16, C3D, and I3D for visual content, and VGGish, SoundNet, and MFCCs for audio content.","Not mentioned. The paper uses pre-existing video clip datasets like Charades, which is described as untrimmed, without detailing any new segmentation process.","The system uses both visual-only and multimodal analysis, with visual backbones including VGG-16 for static image features and C3D and I3D (rgb-flow) for spatiotemporal features."
